Local Authority (England),University #1,University #2,University #3,University #4,University within local authority,Best ranking (Complete Uni Guide),Best rating (Complete Uni Guide),Sum Loneliness of MSOAs in each LA,Average Loneliness of MSOAs in each LA,Location,Inflow/Outflow 15-19,Inflow/Outflow 20-24,Inflow/Outflow 15-24,2018 Population,Student Migration Score (15-19),Student Migration Score (20-24),Student Migration Score (15-24),Urban/Rural Extended,Urban/Rural,IMD - Average score,Median Age compared to England median
Adur,,,,,FALSE,,0,5.366945625,0.670868203,,483,883,1366,63869,0.756235419,1.38251734,2.13875276,Urban with City and Town,Urban,18.275,5.5
Allerdale,,,,,FALSE,,0,1.949540003,0.162461667,,487,974,1461,97527,0.499348898,0.998697797,1.498046695,Mainly Rural,Rural,22.55,7.7
Amber Valley,,,,,FALSE,,0,-12.39631238,-0.774769524,,799,1682,2481,126678,0.63073304,1.327775936,1.958508976,Urban with Minor Conurbation,Urban,18.116,5.9
Arun,,,,,FALSE,,0,12.77916501,0.672587632,,960,2294,3254,159827,0.600649452,1.43530192,2.035951372,Urban with City and Town,Urban,17.671,9.3
Ashfield,,,,,FALSE,,0,-11.34344578,-0.708965361,,779,1653,2432,127151,0.612657392,1.300029099,1.912686491,Urban with City and Town,Urban,25.416,2.3
Ashford,,,,,FALSE,,0,-6.009693835,-0.429263845,,931,1775,2706,129281,0.720136756,1.372978241,2.093114998,Urban with Significant Rural,Urban,17.333,2.1
Aylesbury Vale,University of Buckingham,,,,TRUE,91,0.44,11.37607994,0.474003331,Rural,1865,3203,5068,199448,0.935080823,1.605932373,2.541013196,Largely Rural,Rural,11.175,0.6
Babergh,,,,,FALSE,,0,4.888560634,0.444414603,,730,1331,2061,91401,0.798678351,1.456220391,2.254898743,Mainly Rural,Rural,15.148,8.3
Barking and Dagenham,,,,,FALSE,,0,5.37616229,0.244371013,,1948,3412,5360,211998,0.918876593,1.609449146,2.528325739,Urban with Major Conurbation,Urban,34.635,-7.7
Barnet,,,,,FALSE,,0,50.20434066,1.224496114,,3353,8958,12311,392140,0.855051767,2.284388229,3.139439996,Urban with Major Conurbation,Urban,17.813,-3
Barnsley,,,,,FALSE,,0,3.870652876,0.129021763,,1093,2479,3572,245199,0.445760382,1.011015542,1.456775925,Urban with Minor Conurbation,Urban,29.568,2.7
Barrow-in-Furness,,,,,FALSE,,0,4.955505455,0.495550546,,278,620,898,67137,0.414078675,0.923484815,1.33756349,Urban with Significant Rural,Urban,31.4,5.1
Basildon,,,,,FALSE,,0,-4.799399421,-0.218154519,,1216,2299,3515,185862,0.654248851,1.236939234,1.891188086,Urban with City and Town,Urban,23.618,-0.4
Basingstoke and Deane,,,,,FALSE,,0,31.61868705,1.437213048,,1102,2683,3785,175729,0.627101958,1.526782717,2.153884675,Urban with Significant Rural,Urban,11.496,1
Bassetlaw,,,,,FALSE,,0,-1.500766642,-0.107197617,,774,1484,2258,116839,0.662450038,1.270123846,1.932573884,Largely Rural,Rural,22.729,5.5
Bath and North East Somerset,University of Bath,Bath Spa University,,,TRUE,8,0.87,21.07176207,0.780435632,Suburban,4833,12062,16895,192106,2.51579857,6.278825232,8.794623801,Urban with Significant Rural,Urban,12.094,-1.2
Bedford,,,,,FALSE,,0,-5.884051314,-0.294202566,,1452,3293,4745,171623,0.846040449,1.918740495,2.764780944,Urban with Significant Rural,Urban,19.238,0.4
Bexley,,,,,FALSE,,0,-0.339105705,-0.012110918,,2008,3736,5744,247258,0.812107192,1.510972345,2.323079536,Urban with Major Conurbation,Urban,16.17,-1.1
Birmingham,University of Birmingham,Aston University,Birmingham City University,Newman University,TRUE,12,0.81,-356.4816804,-2.700618791,City Centre,12242,28614,40856,1141374,1.072566924,2.506978431,3.579545355,Urban with Major Conurbation,Urban,37.768,-7.2
Blaby,,,,,FALSE,,0,-2.788756124,-0.232396344,,765,1701,2466,100421,0.761792852,1.693868812,2.455661664,Urban with City and Town,Urban,10.374,3.3
Blackburn with Darwen,,,,,FALSE,,0,-11.78535546,-0.65474197,,819,1944,2763,148942,0.549878476,1.305206053,1.85508453,Urban with City and Town,Urban,34.189,-3.7
Blackpool,,,,,FALSE,,0,-8.967167932,-0.471956207,,1132,2004,3136,139305,0.812605434,1.438570044,2.251175478,Urban with City and Town,Urban,41.997,3.8
Bolsover,,,,,FALSE,,0,-2.168929079,-0.216892908,,552,1192,1744,79530,0.694077707,1.498805482,2.192883189,Urban with Significant Rural,Urban,24.778,4
Bolton,University of Bolton,,,,TRUE,102,0.37,-32.69826523,-0.934236149,Town Centre,1669,3757,5426,285372,0.584850651,1.3165272,1.901377851,Urban with Major Conurbation,Urban,28.42,-1
Boston,,,,,FALSE,,0,9.269305667,1.158663208,,445,897,1342,69366,0.641524666,1.293140732,1.934665398,Urban with Significant Rural,Urban,24.367,2.2
Bournemouth,Art University Bournemouth,Bournemouth University,,,TRUE,36,0.67,-16.33666945,-0.710289976,Town Centre,3636,11193,14829,194355,1.870803427,5.759049163,7.629852589,Urban with City and Town,Urban,21.847,-1.4
Bracknell Forest,,,,,FALSE,,0,3.685382268,0.245692151,,969,1918,2887,121676,0.796377264,1.576317433,2.372694697,Urban with City and Town,Urban,10.462,-0.9
Bradford,University of Bradford,,,,TRUE,55,0.59,-100.0048922,-1.639424462,City Centre,3002,6973,9975,537173,0.558851618,1.298092049,1.856943666,Urban with Major Conurbation,Urban,33.168,-3.8
Braintree,,,,,FALSE,,0,7.156764363,0.39759802,,1034,1879,2913,151561,0.682233556,1.239764847,1.921998403,Largely Rural,Rural,15.313,3.4
Breckland,,,,,FALSE,,0,4.766762711,0.280397807,,959,1792,2751,139329,0.688298918,1.286164402,1.974463321,Mainly Rural,Rural,19.789,6.3
Brent,,,,,FALSE,,0,-45.05637114,-1.325187386,,2882,8808,11690,330795,0.87123445,2.66267628,3.53391073,Urban with Major Conurbation,Urban,26.655,-4.9
Brentwood,,,,,FALSE,,0,3.957859272,0.439762141,,613,1323,1936,76550,0.800783801,1.728282169,2.52906597,Urban with Significant Rural,Urban,9.881,3.6
Brighton and Hove,University of Sussex,University of Brighton,,,TRUE,30,0.7,49.53337727,1.501011433,Rural,5263,13938,19201,290395,1.812359028,4.799669416,6.612028444,Urban with City and Town,Urban,23.441,-4.2
Bristol,University of Bristol,,,,TRUE,13,0.81,136.7640766,2.486619575,City Centre,6345,20941,27286,463405,1.369212676,4.518941315,5.888153991,Urban with City and Town,Urban,27.161,-7.1
Broadland,,,,,FALSE,,0,31.08427658,1.726904254,,982,1874,2856,129464,0.758512019,1.447506643,2.206018662,Urban with Significant Rural,Urban,11.065,8
Bromley,,,,,FALSE,,0,16.50605447,0.423232166,,2440,5159,7599,331096,0.736946384,1.558158359,2.295104743,Urban with Major Conurbation,Urban,15.164,0.8
Bromsgrove,,,,,FALSE,,0,-13.43037917,-0.959312798,,860,1633,2493,98662,0.871662849,1.655145851,2.5268087,Urban with City and Town,Urban,11.071,5.8
Broxbourne,,,,,FALSE,,0,14.12936712,1.086874394,,700,1343,2043,96876,0.722573186,1.38630827,2.108881457,Urban with Major Conurbation,Urban,17.294,0.4
Broxtowe,,,,,FALSE,,0,-6.115756703,-0.436839765,,1305,3616,4921,113272,1.152094074,3.192315842,4.344409916,Urban with Minor Conurbation,Urban,14.306,3.4
Burnley,,,,,FALSE,,0,-10.4664623,-0.872205192,,532,1101,1633,88527,0.600946604,1.243688366,1.84463497,Urban with City and Town,Urban,36.05,0.3
Bury,,,,,FALSE,,0,-3.624854069,-0.139417464,,1236,2657,3893,190108,0.650156753,1.397626612,2.047783365,Urban with Major Conurbation,Urban,21.769,0.6
Calderdale,,,,,FALSE,,0,-7.958159321,-0.294746642,,1204,2648,3852,210082,0.573109548,1.260460201,1.833569749,Urban with Major Conurbation,Urban,24.607,2.3
Cambridge,University of Cambridge,,,,TRUE,1,1,32.71372628,2.516440483,City Centre,4162,10688,14850,125758,3.309531004,8.498862895,11.8083939,Urban with City and Town,Urban,13.75,-8.8
Camden,UCL,SOAS University,University of the Arts London,,TRUE,9,0.85,21.20197089,0.757213246,City Centre,2999,12712,15711,262226,1.143669964,4.84772677,5.991396734,Urban with Major Conurbation,Urban,24.959,-5.8
Cannock Chase,,,,,FALSE,,0,-2.35956994,-0.18150538,,554,1182,1736,100109,0.553396797,1.180713023,1.73410982,Urban with Significant Rural,Urban,20.931,2.8
Canterbury,University of Kent,Canterbury Christ Church,,,TRUE,35,0.67,57.0550445,3.002897079,City Centre,4510,10508,15018,164553,2.740758297,6.385784519,9.126542816,Urban with City and Town,Urban,16.876,-2.1
Carlisle,University of Cumbria,,,,TRUE,93,0.43,2.457970248,0.189074634,City Centre,690,1807,2497,108387,0.636607711,1.667174108,2.303781819,Urban with Significant Rural,Urban,22.482,4.7
Castle Point,,,,,FALSE,,0,10.93501871,0.91125156,,616,995,1611,90070,0.683912512,1.104696347,1.78860886,Urban with City and Town,Urban,16.632,7
Central Bedfordshire,,,,,FALSE,,0,8.680931374,0.263058526,,1943,4243,6186,283606,0.685105393,1.496089645,2.181195038,Largely Rural,Rural,12.201,1.5
Charnwood,Loughborough University,,,,TRUE,5,0.9,5.645008303,0.256591287,Suburban,4513,9625,14138,182643,2.470940578,5.269843356,7.740783934,Urban with City and Town,Urban,13.729,-1.3
Chelmsford,Anglia Ruskin,,,,TRUE,89,0.47,17.87085939,0.850993304,City Centre,1403,3255,4658,177079,0.792301741,1.838162628,2.630464369,Urban with City and Town,Urban,12.413,1.7
Cheltenham,University of Gloucestershire,,,,TRUE,75,0.53,26.99512242,1.799674828,City Centre,1901,4427,6328,117090,1.62353745,3.780852336,5.404389786,Urban with City and Town,Urban,15.071,0.2
Cherwell,,,,,FALSE,,0,14.55955695,0.766292471,,1154,2538,3692,149161,0.773660675,1.701517153,2.475177828,Urban with Significant Rural,Urban,12.611,1.2
Cheshire East,,,,,FALSE,,0,-3.677188841,-0.072101742,,2627,5997,8624,380790,0.689881562,1.574883794,2.264765356,Urban with Significant Rural,Urban,14.132,6.1
Cheshire West and Chester,University of Chester,,,,TRUE,73,0.54,2.087614931,0.044417339,City Centre,3245,7389,10634,340502,0.953004681,2.170031307,3.123035988,Urban with Significant Rural,Urban,18.086,4.4
Chesterfield,,,,,FALSE,,0,0.815894668,0.062761128,,671,1455,2126,104628,0.641319723,1.390641129,2.031960852,Urban with City and Town,Urban,25.32,4.5
