,AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2018 Population
29439,E0,Adur,Population,persons,All ages,63869
2115,E0,Allerdale,Population,persons,All ages,97527
8279,E0,Amber Valley,Population,persons,All ages,126678
29531,E0,Arun,Population,persons,All ages,159827
11315,E0,Ashfield,Population,persons,All ages,127151
26587,E0,Ashford,Population,persons,All ages,129281
24471,E0,Aylesbury Vale,Population,persons,All ages,199448
19411,E0,Babergh,Population,persons,All ages,91401
21435,E0,Barking and Dagenham,Population,persons,All ages,211998
21527,E0,Barnet,Population,persons,All ages,392140
6807,E0,Barnsley,Population,persons,All ages,245199
2207,E0,Barrow-in-Furness,Population,persons,All ages,67137
16467,E0,Basildon,Population,persons,All ages,185862
25483,E0,Basingstoke and Deane,Population,persons,All ages,175729
11407,E0,Bassetlaw,Population,persons,All ages,116839
30175,E0,Bath and North East Somerset,Population,persons,All ages,192106
15271,E0,Bedford,Population,persons,All ages,171623
21619,E0,Bexley,Population,persons,All ages,247258
13891,E0,Birmingham,Population,persons,All ages,1141374
9107,E0,Blaby,Population,persons,All ages,100421
1471,E0,Blackburn with Darwen,Population,persons,All ages,148942
1563,E0,Blackpool,Population,persons,All ages,139305
8371,E0,Bolsover,Population,persons,All ages,79530
2759,E0,Bolton,Population,persons,All ages,285372
9843,E0,Boston,Population,persons,All ages,69366
30267,E0,Bournemouth,Population,persons,All ages,194355
23275,E0,Bracknell Forest,Population,persons,All ages,121676
7267,E0,Bradford,Population,persons,All ages,537173
16559,E0,Braintree,Population,persons,All ages,151561
18675,E0,Breckland,Population,persons,All ages,139329
21711,E0,Brent,Population,persons,All ages,330795
16651,E0,Brentwood,Population,persons,All ages,76550
23367,E0,Brighton and Hove,Population,persons,All ages,290395
30359,E0,"Bristol, City of",Population,persons,All ages,463405
18767,E0,Broadland,Population,persons,All ages,129464
21803,E0,Bromley,Population,persons,All ages,331096
14627,E0,Bromsgrove,Population,persons,All ages,98662
17663,E0,Broxbourne,Population,persons,All ages,96876
11499,E0,Broxtowe,Population,persons,All ages,113272
3771,E0,Burnley,Population,persons,All ages,88527
2851,E0,Bury,Population,persons,All ages,190108
7359,E0,Calderdale,Population,persons,All ages,210082
15915,E0,Cambridge,Population,persons,All ages,125758
20147,E0,Camden,Population,persons,All ages,262226
12511,E0,Cannock Chase,Population,persons,All ages,100109
26679,E0,Canterbury,Population,persons,All ages,164553
2299,E0,Carlisle,Population,persons,All ages,108387
16743,E0,Castle Point,Population,persons,All ages,90070
15363,E0,Central Bedfordshire,Population,persons,All ages,283606
9199,E0,Charnwood,Population,persons,All ages,182643
16835,E0,Chelmsford,Population,persons,All ages,177079
32843,E0,Cheltenham,Population,persons,All ages,117090
27783,E0,Cherwell,Population,persons,All ages,149161
1655,E0,Cheshire East,Population,persons,All ages,380790
1747,E0,Cheshire West and Chester,Population,persons,All ages,340502
8463,E0,Chesterfield,Population,persons,All ages,104628
29623,E0,Chichester,Population,persons,All ages,120750
24563,E0,Chiltern,Population,persons,All ages,95927
3863,E0,Chorley,Population,persons,All ages,116821
32199,E0,Christchurch,Population,persons,All ages,50032
20239,E0,City of London,Population,persons,All ages,8706
16927,E0,Colchester,Population,persons,All ages,192523
2391,E0,Copeland,Population,persons,All ages,68424
10579,E0,Corby,Population,persons,All ages,70827
30451,E0,Cornwall,Population,persons,All ages,565968
32935,E0,Cotswold,Population,persons,All ages,89022
183,E0,County Durham,Population,persons,All ages,526980
13983,E0,Coventry,Population,persons,All ages,366785
6071,E0,Craven,Population,persons,All ages,56832
29715,E0,Crawley,Population,persons,All ages,112448
21895,E0,Croydon,Population,persons,All ages,385346
17755,E0,Dacorum,Population,persons,All ages,154280
275,E0,Darlington,Population,persons,All ages,106566
26771,E0,Dartford,Population,persons,All ages,109709
10671,E0,Daventry,Population,persons,All ages,84484
7819,E0,Derby,Population,persons,All ages,257174
8555,E0,Derbyshire Dales,Population,persons,All ages,71977
6899,E0,Doncaster,Population,persons,All ages,310542
26863,E0,Dover,Population,persons,All ages,116969
14075,E0,Dudley,Population,persons,All ages,320626
21987,E0,Ealing,Population,persons,All ages,341982
16007,E0,East Cambridgeshire,Population,persons,All ages,89362
31371,E0,East Devon,Population,persons,All ages,144317
32291,E0,East Dorset,Population,persons,All ages,89889
25575,E0,East Hampshire,Population,persons,All ages,120681
17847,E0,East Hertfordshire,Population,persons,All ages,148105
9935,E0,East Lindsey,Population,persons,All ages,140741
10763,E0,East Northamptonshire,Population,persons,All ages,93906
5519,E0,East Riding of Yorkshire,Population,persons,All ages,339614
12603,E0,East Staffordshire,Population,persons,All ages,118574
24931,E0,Eastbourne,Population,persons,All ages,103160
25667,E0,Eastleigh,Population,persons,All ages,131819
2483,E0,Eden,Population,persons,All ages,52881
28335,E0,Elmbridge,Population,persons,All ages,136626
22079,E0,Enfield,Population,persons,All ages,333869
17019,E0,Epping Forest,Population,persons,All ages,131137
28427,E0,Epsom and Ewell,Population,persons,All ages,79928
8647,E0,Erewash,Population,persons,All ages,115490
31463,E0,Exeter,Population,persons,All ages,130428
25759,E0,Fareham,Population,persons,All ages,116339
16099,E0,Fenland,Population,persons,All ages,101491
27231,E0,Folkestone and Hythe,Population,persons,All ages,112578
19503,E0,Forest Heath,Population,persons,All ages,65399
33027,E0,Forest of Dean,Population,persons,All ages,86543
3955,E0,Fylde,Population,persons,All ages,79770
919,E0,Gateshead,Population,persons,All ages,202508
