msoa11nm,Unnamed: 0,objectid,loneills_2018,Unnamed: 7,Unnamed: 8,Unnamed: 9,Average
Adur,51164,51172,5.3669456250000005,0.0,0.0,0.6708682029999999,0.6708682031250001
Allerdale,46506,46518,1.949540003,0.0,0.0,0.0,0.16246166691666666
Amber Valley,65799,65815,-12.396312378,0.0,0.0,0.0,-0.774769523625
Arun,121771,121790,12.779165012999998,0.0,0.0,0.0,0.6725876322631578
Ashfield,91144,91160,-11.343445777,0.0,0.0,0.0,-0.7089653610625
Ashford,68509,68523,-6.009693835,0.0,0.0,0.0,-0.42926384535714285
Aylesbury Vale,85740,85764,11.376079936999998,0.0,0.0,0.0,0.4740033307083333
Babergh,67045,67056,4.888560634,0.0,0.0,0.0,0.4444146030909091
Barking and Dagenham,6887,6909,5.376162289999999,0.0,0.0,0.0,0.24437101318181814
Barnet,1722,1763,50.204340659,0.0,0.0,0.0,1.2244961136341463
Barnsley,44535,44565,3.8706528759999994,0.0,0.0,0.0,0.1290217625333333
Barrow-in-Furness,38865,38875,4.955505455000001,0.0,0.0,0.0,0.4955505455000001
Basildon,95315,95337,-4.7993994209999995,0.0,0.0,0.0,-0.2181545191363636
Basingstoke and Deane,100793,100815,31.618687047999998,0.0,0.0,0.0,1.4372130476363636
Bassetlaw,81003,81017,-1.5007666419999999,0.0,0.0,0.0,-0.10719761728571428
Bath and North East Somerset,78759,78786,21.071762071000006,0.0,0.0,0.0,0.7804356322592595
Bedford,70690,70710,-5.884051313999999,0.0,0.0,0.0,-0.2942025656999999
Bexley,8695,8723,-0.3391057049999999,0.0,0.0,0.0,-0.012110918035714282
Birmingham,286935,287067,-356.4816804459998,0.0,0.0,0.0,-2.7006187912575745
Blaby,64086,64098,-2.788756124,0.0,0.0,0.0,-0.23239634366666664
Blackburn with Darwen,45927,45945,-11.785355461999998,0.0,0.0,0.0,-0.654741970111111
Blackpool,48830,48849,-8.967167931999999,0.0,0.0,0.0,-0.47195620694736834
Bolsover,39535,39545,-2.1689290789999998,0.0,0.0,0.0,-0.2168929079
Bolton,33880,33915,-32.69826523,0.0,0.0,0.0,-0.9342361494285714
Boston,45216,45224,9.269305667000001,0.0,0.0,0.0,1.1586632083750001
