LA name,Inflow,Outflow,Net,Total_Flow
Adur,613,753,-140,1366
Allerdale,643,818,-175,1461
Amber Valley,1156,1325,-169,2481
Arun,1429,1825,-396,3254
Ashfield,1197,1235,-38,2432
Ashford,1256,1450,-194,2706
Aylesbury Vale,2360,2708,-348,5068
Babergh,947,1114,-167,2061
Barking and Dagenham,2368,2992,-624,5360
Barnet,6031,6280,-249,12311
Barnsley,1734,1838,-104,3572
Barrow-in-Furness,455,443,12,898
Basildon,1738,1777,-39,3515
Basingstoke and Deane,1885,1900,-15,3785
Bassetlaw,1019,1239,-220,2258
Bath and North East Somerset,8948,7947,1001,16895
Bedford,2224,2521,-297,4745
Bexley,2652,3092,-440,5744
Birmingham,20645,20211,434,40856
Blaby,1258,1208,50,2466
Blackburn with Darwen,1268,1495,-227,2763
Blackpool,1584,1552,32,3136
Bolsover,849,895,-46,1744
Bolton,2436,2990,-554,5426
Boston,572,770,-198,1342
Bournemouth,7595,7234,361,14829
Bracknell Forest,1382,1505,-123,2887
Bradford,4479,5496,-1017,9975
Braintree,1270,1643,-373,2913
Breckland,1252,1499,-247,2751
Brent,5981,5709,272,11690
Brentwood,934,1002,-68,1936
Brighton and Hove,10848,8353,2495,19201
"Bristol, City of",15905,11381,4524,27286
Broadland,1276,1580,-304,2856
Bromley,3484,4115,-631,7599
Bromsgrove,1132,1361,-229,2493
Broxbourne,986,1057,-71,2043
Broxtowe,2631,2290,341,4921
Burnley,769,864,-95,1633
Bury,1892,2001,-109,3893
Calderdale,1774,2078,-304,3852
Cambridge,8030,6820,1210,14850
Camden,8584,7127,1457,15711
Cannock Chase,897,839,58,1736
Canterbury,7384,7634,-250,15018
Carlisle,1199,1298,-99,2497
Castle Point,717,894,-177,1611
Central Bedfordshire,2904,3282,-378,6186
Charnwood,7188,6950,238,14138
Chelmsford,2252,2406,-154,4658
Cheltenham,3296,3032,264,6328
Cherwell,1695,1997,-302,3692
Cheshire East,3817,4807,-990,8624
Cheshire West and Chester,5280,5354,-74,10634
Chesterfield,1043,1083,-40,2126
Chichester,2251,2552,-301,4803
Chiltern,1352,1660,-308,3012
Chorley,1071,1120,-49,2191
Christchurch,524,560,-36,1084
City of London,226,140,86,366
Colchester,4490,4170,320,8660
Copeland,416,479,-63,895
Corby,560,710,-150,1270
Cornwall,6351,7031,-680,13382
Cotswold,1526,1634,-108,3160
County Durham,8265,8074,191,16339
Coventry,12198,11363,835,23561
Craven,589,745,-156,1334
Crawley,987,1081,-94,2068
Croydon,4648,5519,-871,10167
Dacorum,1679,1904,-225,3583
Darlington,953,1055,-102,2008
Dartford,1159,1165,-6,2324
Daventry,1119,1086,33,2205
Derby,4913,4564,349,9477
Derbyshire Dales,774,1050,-276,1824
Doncaster,2362,2578,-216,4940
Dover,1001,1218,-217,2219
Dudley,2442,2642,-200,5084
Ealing,6130,6274,-144,12404
East Cambridgeshire,881,1104,-223,1985
East Devon,1369,1705,-336,3074
East Dorset,930,1118,-188,2048
East Hampshire,1373,1656,-283,3029
East Hertfordshire,1670,2162,-492,3832
East Lindsey,1256,1458,-202,2714
East Northamptonshire,957,1298,-341,2255
East Riding of Yorkshire,3687,4886,-1199,8573
East Staffordshire,1143,1260,-117,2403
Eastbourne,1407,1627,-220,3034
Eastleigh,1366,1484,-118,2850
Eden,439,576,-137,1015
Elmbridge,1715,2298,-583,4013
Enfield,3890,4613,-723,8503
Epping Forest,1476,1647,-171,3123
Epsom and Ewell,1378,1655,-277,3033
Erewash,1123,1145,-22,2268
